#log(M500) nhalo log(Rlo/R500) log(Rhi/R500) log(Pe_50) log(Pe_16) log(Pe_84) log(ne_50) log(ne_16) log(ne_84) log(T_50) log(T_16) log(T_84)
13.75 14  -0.800 -0.700  -2.924 -3.202 -2.640  -3.161 -3.322 -3.051   0.218  0.099  0.441
13.75 14  -0.700 -0.600  -3.077 -3.302 -2.766  -3.264 -3.400 -3.159   0.189  0.097  0.396
13.75 14  -0.600 -0.500  -3.202 -3.380 -2.895  -3.372 -3.482 -3.267   0.168  0.085  0.360
13.75 14  -0.500 -0.400  -3.344 -3.488 -3.068  -3.494 -3.590 -3.391   0.140  0.071  0.310
13.75 14  -0.400 -0.300  -3.498 -3.644 -3.287  -3.619 -3.729 -3.523   0.141  0.051  0.241
13.75 14  -0.300 -0.200  -3.678 -3.873 -3.497  -3.764 -3.911 -3.662   0.100  0.015  0.170
13.75 14  -0.200 -0.100  -3.809 -4.044 -3.675  -3.858 -4.027 -3.787   0.037 -0.031  0.120
13.75 14  -0.100  0.000  -3.983 -4.108 -3.883  -3.991 -4.081 -3.898   0.000 -0.024  0.019
13.75 14   0.000  0.100  -4.150 -4.150 -4.150  -4.121 -4.121 -4.121  -0.028 -0.028 -0.028
#log(M500) nhalo log(Rlo/R500) log(Rhi/R500) log(Pe_50) log(Pe_16) log(Pe_84) log(ne_50) log(ne_16) log(ne_84) log(T_50) log(T_16) log(T_84)
14.14  5  -2.000 -1.900  -1.884 -2.183 -1.846  -2.410 -2.475 -2.284   0.389  0.299  0.576
14.14  5  -1.900 -1.800  -1.978 -2.199 -1.885  -2.472 -2.520 -2.393   0.405  0.323  0.593
14.14  5  -1.800 -1.700  -2.071 -2.216 -1.930  -2.534 -2.564 -2.497   0.419  0.352  0.609
14.14  5  -1.700 -1.600  -2.129 -2.222 -1.968  -2.593 -2.606 -2.570   0.433  0.379  0.623
14.14  5  -1.600 -1.500  -2.199 -2.224 -2.011  -2.634 -2.653 -2.621   0.444  0.405  0.631
14.14  5  -1.500 -1.400  -2.219 -2.240 -2.048  -2.678 -2.697 -2.657   0.457  0.435  0.634
14.14  5  -1.400 -1.300  -2.209 -2.273 -2.088  -2.722 -2.745 -2.680   0.476  0.465  0.633
14.14  5  -1.300 -1.200  -2.200 -2.301 -2.144  -2.767 -2.796 -2.704   0.500  0.484  0.625
14.14  5  -1.200 -1.100  -2.307 -2.730 -2.192  -2.808 -3.078 -2.733   0.523  0.362  0.610
14.14  5  -1.100 -1.000  -2.316 -2.645 -2.211  -2.849 -3.052 -2.762   0.549  0.376  0.587
14.14  5  -1.000 -0.900  -2.340 -2.737 -2.232  -2.899 -3.152 -2.806   0.569  0.384  0.581
14.14  5  -0.900 -0.800  -2.424 -2.753 -2.297  -2.952 -3.184 -2.860   0.543  0.387  0.620
14.14  5  -0.800 -0.700  -2.526 -2.784 -2.369  -3.022 -3.221 -2.933   0.519  0.387  0.650
14.14  5  -0.700 -0.600  -2.615 -2.828 -2.467  -3.100 -3.261 -3.025   0.509  0.384  0.643
14.14  5  -0.600 -0.500  -2.733 -2.905 -2.619  -3.206 -3.319 -3.141   0.478  0.377  0.592
14.14  5  -0.500 -0.400  -2.896 -3.011 -2.800  -3.334 -3.400 -3.279   0.410  0.360  0.502
14.14  5  -0.400 -0.300  -3.100 -3.183 -3.008  -3.473 -3.523 -3.414   0.355  0.335  0.436
14.14  5  -0.300 -0.200  -3.285 -3.366 -3.208  -3.598 -3.663 -3.549   0.328  0.269  0.338
14.14  5  -0.200 -0.100  -3.472 -3.561 -3.386  -3.754 -3.830 -3.694   0.305  0.195  0.319
14.14  5  -0.100  0.000  -3.624 -3.793 -3.538  -3.893 -3.957 -3.793   0.262  0.110  0.297
